,Sentence #,Word,POS,Tag
0,Sentence: 1,EU,NNP,ORG
1,,rejects,VBZ,O
2,,German,JJ,MISC
3,,call,NN,O
4,,to,TO,O
5,,boycott,VB,O
6,,British,JJ,MISC
7,,lamb,NN,O
8,Sentence: 2,Peter,NNP,PER
9,,Blackburn,NNP,PER
10,,BRUSSELS,NNP,LOC
11,,1996-08-22,CD,O
12,,The,DT,O
13,,European,NNP,ORG
14,,Commission,NNP,ORG
15,,said,VBD,O
16,,on,IN,O
17,,Thursday,NNP,O
18,,it,PRP,O
19,,disagreed,VBD,O
20,,with,IN,O
21,,German,JJ,MISC
22,,advice,NN,O
23,,to,TO,O
24,,consumers,NNS,O
25,,to,TO,O
26,,shun,VB,O
27,,British,JJ,MISC
28,,lamb,NN,O
29,,until,IN,O
30,,scientists,NNS,O
31,,determine,VBP,O
32,,whether,IN,O
33,,mad,JJ,O
34,,cow,NN,O
35,,disease,NN,O
36,,can,MD,O
37,,be,VB,O
38,,transmitted,VBN,O
39,,to,TO,O
40,,sheep,NN,O
41,Sentence: 3,Germany,NNP,LOC
42,,'s,POS,O
43,,representative,NN,O
44,,to,TO,O
45,,the,DT,O
46,,European,NNP,ORG
47,,Union,NNP,ORG
48,,'s,POS,O
49,,veterinary,JJ,O
50,,committee,NN,O
51,,Werner,NNP,PER
52,,Zwingmann,NNP,PER
53,,said,VBD,O
54,,on,IN,O
55,,Wednesday,NNP,O
56,,consumers,NNS,O
57,,should,MD,O
58,,buy,VB,O
59,,sheepmeat,NN,O
60,,from,IN,O
61,,countries,NNS,O
62,,other,JJ,O
63,,than,IN,O
64,,Britain,NNP,LOC
65,,until,IN,O
66,,the,DT,O
67,,scientific,JJ,O
68,,advice,NN,O
69,,was,VBD,O
70,,clearer,JJR,O
71,Sentence: 4,We,PRP,O
72,,do,VBP,O
73,,n't,RB,O
74,,support,VB,O
75,,any,DT,O
76,,such,JJ,O
77,,recommendation,NN,O
78,,because,IN,O
79,,we,PRP,O
80,,do,VBP,O
81,,n't,RB,O
82,,see,VB,O
83,,any,DT,O
84,,grounds,NNS,O
85,,for,IN,O
86,,it,PRP,O
87,,",",",",O
88,,the,DT,O
89,,Commission,NNP,ORG
90,,'s,POS,O
91,,chief,JJ,O
92,,spokesman,NN,O
93,,Nikolaus,NNP,PER
94,,van,NNP,PER
95,,der,FW,PER
96,,Pas,NNP,PER
97,,told,VBD,O
98,,a,DT,O
99,,news,NN,O
100,,briefing,NN,O
101,Sentence: 5,He,PRP,O
102,,said,VBD,O
103,,further,JJ,O
104,,scientific,JJ,O
105,,study,NN,O
106,,was,VBD,O
107,,required,VBN,O
108,,and,CC,O
109,,if,IN,O
110,,it,PRP,O
111,,was,VBD,O
112,,found,VBN,O
113,,that,IN,O
114,,action,NN,O
115,,was,VBD,O
116,,needed,VBN,O
117,,it,PRP,O
118,,should,MD,O
119,,be,VB,O
120,,taken,VBN,O
121,,by,IN,O
122,,the,DT,O
123,,European,NNP,ORG
124,,Union,NNP,ORG
125,Sentence: 6,He,PRP,O
126,,said,VBD,O
127,,a,DT,O
128,,proposal,NN,O
129,,last,JJ,O
130,,month,NN,O
131,,by,IN,O
132,,EU,NNP,ORG
133,,Farm,NNP,O
134,,Commissioner,NNP,O
135,,Franz,NNP,PER
136,,Fischler,NNP,PER
137,,to,TO,O
138,,ban,VB,O
139,,sheep,NN,O
140,,brains,NNS,O
141,,",",",",O
142,,spleens,NNS,O
143,,and,CC,O
144,,spinal,JJ,O
145,,cords,NNS,O
146,,from,IN,O
147,,the,DT,O
148,,human,NN,O
149,,and,CC,O
150,,animal,NN,O
151,,food,NN,O
152,,chains,NNS,O
153,,was,VBD,O
154,,a,DT,O
155,,highly,RB,O
156,,specific,JJ,O
157,,and,CC,O
158,,precautionary,JJ,O
159,,move,NN,O
160,,to,TO,O
161,,protect,VB,O
162,,human,JJ,O
163,,health,NN,O
164,Sentence: 7,Fischler,JJR,PER
165,,proposed,VBN,O
166,,EU-wide,NNP,MISC
167,,measures,VBZ,O
168,,after,IN,O
169,,reports,NNS,O
170,,from,IN,O
171,,Britain,NNP,LOC
172,,and,CC,O
173,,France,NNP,LOC
174,,that,WDT,O
175,,under,IN,O
176,,laboratory,NN,O
177,,conditions,NNS,O
178,,sheep,NN,O
179,,could,MD,O
180,,contract,VB,O
181,,Bovine,NNP,MISC
182,,Spongiform,NNP,MISC
183,,Encephalopathy,NNP,MISC
184,,(,(,O
185,,BSE,NNP,MISC
186,,),),O
187,,--,:,O
188,,mad,JJ,O
189,,cow,NN,O
190,,disease,NN,O
191,Sentence: 8,But,CC,O
192,,Fischler,NNP,PER
193,,agreed,VBD,O
194,,to,TO,O
195,,review,VB,O
196,,his,PRP$,O
197,,proposal,NN,O
198,,after,IN,O
199,,the,DT,O
200,,EU,NNP,ORG
201,,'s,POS,O
202,,standing,NN,O
203,,veterinary,JJ,O
204,,committee,NN,O
205,,",",",",O
206,,mational,JJ,O
207,,animal,NN,O
208,,health,NN,O
209,,officials,NNS,O
210,,",",",",O
211,,questioned,VBD,O
212,,if,IN,O
213,,such,JJ,O
214,,action,NN,O
215,,was,VBD,O
216,,justified,VBN,O
217,,as,IN,O
218,,there,RB,O
219,,was,VBD,O
220,,only,RB,O
221,,a,DT,O
222,,slight,JJ,O
223,,risk,NN,O
224,,to,TO,O
225,,human,JJ,O
226,,health,NN,O
227,Sentence: 9,Spanish,NNP,MISC
228,,Farm,NNP,O
229,,Minister,NNP,O
230,,Loyola,NNP,PER
231,,de,NNP,PER
232,,Palacio,NNP,PER
233,,had,VBD,O
234,,earlier,RBR,O
235,,accused,VBN,O
236,,Fischler,NNP,PER
237,,at,IN,O
238,,an,DT,O
