Sentence #,Word,Tag
Sentence: 1," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 1,rejects ,O
Sentence: 1," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 1,call to boycott ,O
Sentence: 1," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 1,lamb ,O
Sentence: 2,Peter ,O
Sentence: 2," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 2," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 2,1996-08-22 The ,O
Sentence: 2," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 2,said on Thursday it disagreed with ,O
Sentence: 2," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 2,advice to consumers to shun ,O
Sentence: 2," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 2,lamb until scientists determine whether mad cow disease can be transmitted to sheep ,O
Sentence: 3,Germany 's representative to the ,O
Sentence: 3," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 3,'s veterinary committee ,O
Sentence: 3," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 3,said on Wednesday consumers should buy sheepmeat from countries other than ,O
Sentence: 3," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 3,until the scientific advice was clearer ,O
Sentence: 4,"We do n't support any such recommendation because we do n't see any grounds for it , the ",O
Sentence: 4," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 4,'s chief spokesman ,O
Sentence: 4," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 4,told a news briefing ,O
Sentence: 5,He said further scientific study was required and if it was found that action was needed it should be taken by the ,O
Sentence: 5," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 6," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 6,said a proposal last month by ,O
Sentence: 6," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 6,Farm Commissioner ,O
Sentence: 6," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 6,"to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health ",O
Sentence: 7,Fischler proposed ,O
Sentence: 7," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 7,measures after reports from ,O
Sentence: 7," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 7,and ,O
Sentence: 7," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 7,that under laboratory conditions sheep could contract ,O
Sentence: 7," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 7,( ,O
Sentence: 7," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 7,) -- mad cow disease ,O
Sentence: 8,But ,O
Sentence: 8," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 8,agreed to review his proposal after the ,O
Sentence: 8," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 8,"'s standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health ",O
Sentence: 9,Spanish Farm Minister ,O
Sentence: 9," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 9,had earlier accused ,O
Sentence: 9," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 9,at an ,O
Sentence: 9," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 9,farm ministers ' meeting of causing unjustified alarm through dangerous generalisation ,O
Sentence: 10,Only ,O
Sentence: 10," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 10,and ,O
Sentence: 10," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 10,backed ,O
Sentence: 10," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 10,'s proposal ,O
Sentence: 11,The ,O
Sentence: 11," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 11,'s scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials ,O
Sentence: 12,"Sheep have long been known to contract scrapie , a brain-wasting disease similar to ",O
Sentence: 12," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 12,which is believed to have been transferred to cattle through feed containing animal waste ,O
Sentence: 13,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that ",O
Sentence: 13," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 13,government advice to consumers to avoid ,O
Sentence: 13," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 13,lamb might influence consumers across ,O
Sentence: 13," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 14," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 14,we have to be extremely careful of is how other countries are going to take ,O
Sentence: 14," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 14,"'s lead , ",O
Sentence: 14," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 14,( ,O
Sentence: 14," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 14,) chairman ,O
Sentence: 14," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 14,said on ,O
Sentence: 14," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 15," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 15,has led efforts to protect public health after consumer confidence collapsed in March after a ,O
Sentence: 15," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 15,report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef ,O
Sentence: 16,"Germany imported 47,600 sheep from ",O
Sentence: 16," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 16,"last year , nearly half of total imports ",O
Sentence: 17,"It brought in 4,275 tonnes of ",O
Sentence: 17," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 17,"mutton , some 10 percent of overall imports ",O
Sentence: 18,-DOCSTART- Rare ,O
Sentence: 18," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 18,"song draft sells for almost $ 17,000 ",O
Sentence: 19,LONDON 1996-08-22 A rare early handwritten draft of a song by ,O
Sentence: 19," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 19,guitar legend ,O
Sentence: 19," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 19,"was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions ",O
Sentence: 20,A ,O
Sentence: 20," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 20,"restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of ",O
Sentence: 20," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 20,", which ",O
Sentence: 20," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 20,penned on a piece of ,O
Sentence: 20," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 20,hotel stationery in late 1966 ,O
Sentence: 21,At the end of a January 1967 concert in the ,O
Sentence: 21," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 21,city of ,O
Sentence: 21," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 21,"he threw the sheet of paper into the audience , where it was retrieved by a fan ",O
Sentence: 22,Buyers also snapped up 16 other items that were put up for auction by ,O
Sentence: 22," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 22,'s former girlfriend ,O
Sentence: 22," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 22,", who lived with him from 1966 to 1969 ",O
Sentence: 23,They included a black lacquer and mother of pearl inlaid box used by ,O
Sentence: 23," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 23,"to store his drugs , which an anonymous ",O
Sentence: 23," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 23,"purchaser bought for 5,060 pounds ( $ 7,845 ) ",O
Sentence: 24,The guitarist died of a drugs overdose in 1970 aged 27 ,O
Sentence: 25,-DOCSTART- ,O
Sentence: 25," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 25,says ,O
Sentence: 25," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 25,spoils atmosphere for talks ,O
Sentence: 26,BEIJING 1996-08-22 ,O
Sentence: 26," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 26,on Thursday accused ,O
Sentence: 26," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 26,of spoiling the atmosphere for a resumption of talks across the ,O
Sentence: 26," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 26,with a visit to ,O
Sentence: 26," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 26,by ,O
Sentence: 26," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 26,Vice President ,O
Sentence: 26," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 26,this week that infuriated ,O
Sentence: 26," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 27," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 27,only hours after ,O
Sentence: 27," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 27,state media said the time was right to engage in political talks with ,O
Sentence: 27," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 27,", ",O
Sentence: 27," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 27,spokesman ,O
Sentence: 27," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 27,told ,O
Sentence: 27," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 27,: The necessary atmosphere for the opening of the talks has been disrupted by the ,O
Sentence: 27," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 27,authorities ,O
Sentence: 28,State media quoted ,O
Sentence: 28," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 28,'s top negotiator with ,O
Sentence: 28," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 28,", ",O
Sentence: 28," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 28,", as telling a visiting group from ",O
Sentence: 28," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 28,on Wednesday that it was time for the rivals to hold political talks ,O
Sentence: 29,"Now is the time for the two sides to engage in political talks ... that is to end the state of hostility , Thursday 's overseas edition of the ",O
Sentence: 29," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 29,quoted ,O
Sentence: 29," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 29,as saying ,O
Sentence: 30,The foreign ministry 's ,O
Sentence: 30," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 30,told ,O
Sentence: 30," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 30,in an interview he had read reports of ,O
Sentence: 30," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 30,'s comments but gave no details of why the negotiator had considered the time right for talks with ,O
Sentence: 30," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 30,", which ",O
Sentence: 30," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 30,considers a renegade province ,O
Sentence: 31,"China , which has long opposed all ",O
Sentence: 31," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 31,"efforts to gain greater international recognition , was infuriated by a visit to ",O
Sentence: 31," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 31,this week by ,O
Sentence: 31," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 31,Vice President ,O
Sentence: 31," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 32," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 32," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 32,says time right for ,O
Sentence: 32," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 32,talks ,O
Sentence: 33,BEIJING 1996-08-22 ,O
Sentence: 33," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 33,has said it was time for political talks with ,O
Sentence: 33," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 33,and that the rival island should take practical steps towards that goal ,O
Sentence: 34,"Consultations should be held to set the time and format of the talks , the official ",O
Sentence: 34," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 34,news agency quoted ,O
Sentence: 34," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 34,", executive vice chairman of the ",O
Sentence: 34," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 34,", as saying late on Wednesday ",O
Sentence: 35,-DOCSTART- ,O
Sentence: 35," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 35,July car registrations up 14.2 pct yr / yr ,O
Sentence: 36,FRANKFURT 1996-08-22 ,O
Sentence: 36," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 36,"first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the ",O
Sentence: 36," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 36,said on Thursday ,O
Sentence: 37,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks ",O
Sentence: 38,The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 ,O
Sentence: 39,Motor-bike registration rose 32.7 percent in the period ,O
Sentence: 40,The growth was partly due to an increased number of ,O
Sentence: 40," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 40,buying ,O
Sentence: 40," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 40,"cars abroad , while manufacturers said that domestic demand was weak , the federal office said ",O
Sentence: 41,Almost all ,O
Sentence: 41," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 41,car manufacturers posted gains in registration numbers in the period ,O
Sentence: 42,Volkswagen ,O
Sentence: 42," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 42,"won 77,719 registrations , slightly more than a quarter of the total ",O
Sentence: 43,Opel ,O
Sentence: 43," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 43,together with ,O
Sentence: 43," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 43,"came in second place with 49,269 registrations , 16.4 percent of the overall figure ",O
Sentence: 44,Third was ,O
Sentence: 44," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 44,"with 35,563 registrations , or 11.7 percent ",O
Sentence: 45,Only ,O
Sentence: 45," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 45,and ,O
Sentence: 45," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 45,had fewer registrations in July 1996 compared to last year 's July ,O
Sentence: 46,"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier ",O
Sentence: 47,Porsche 's registrations fell to 554 from 643 ,O
Sentence: 48,-DOCSTART- ,O
Sentence: 48," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 48,SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS ,O
Sentence: 49,ATHENS 1996-08-22 The ,O
Sentence: 49," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 49,socialist party 's executive bureau gave the green light to Prime Minister ,O
Sentence: 49," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 49,"to call snap elections , its general secretary ",O
Sentence: 49," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 49,told reporters ,O
Sentence: 50,Prime Minister ,O
Sentence: 50," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 50,"is going to make an official announcement after a cabinet meeting later on Thursday , said ",O
Sentence: 50," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 51," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 51,", ",O
Sentence: 51," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 51,+301 3311812-4 -DOCSTART- ,O
Sentence: 51," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 51,sets ,O
Sentence: 51," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 51,100 million six-year bond ,O
Sentence: 52,LONDON 1996-08-22 The following bond was announced by lead manager ,O
Sentence: 52," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 53," "" <PER> "" Var_PER "" </PER> """,PER
Sentence: 53," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 53,AMT ,O
Sentence: 53," "" <MISC> "" Var_MISC "" </MISC> """,MISC
Sentence: 53,100 MLN COUPON 6.625 MATURITY 24.SEP.02 TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96 FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP MOODY AA1 LISTING LUX PAY FREQ = ,O
Sentence: 53," "" <ORG> "" Var_ORG "" </ORG> """,ORG
Sentence: 53,= DENOMS ( K ) 1-10-100 SALE LIMITS ,O
Sentence: 53," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 53,/ ,O
Sentence: 53," "" <LOC> "" Var_LOC "" </LOC> """,LOC
Sentence: 53,/ ,O
Sentence: 53," "" <LOC> "" Var_LOC "" </LOC> """,LOC
